,n_loans,loan_amount,med_income,n_restaurants,tot_pop,pct_white_alone,pct_black,pct_amind,pct_asian,pct_hispanic,state,aland10,zip,pct_with_loan
576,3,47584.0,53906.0,4,2302.0,89.1,1.6,0.0,1.0,4.4,IL,154556197,61030,0.75
578,31,2391675.5,42829.0,49,29896.0,76.2,14.6,0.1,1.1,4.7,IL,383349113,61032,0.6326530612244898
579,3,218500.0,40595.0,16,1938.0,39.0,0.0,9.8,14.7,44.5,CA,389427461,93243,0.1875
581,17,882682.63,57314.0,36,38606.0,40.5,7.7,2.8,6.2,40.5,CA,305280283,93245,0.4722222222222222
582,3,320061.0,242557.0,6,305.0,77.4,5.6,0.0,3.3,10.8,CA,46722266,95837,0.5
583,1,65600.0,44849.0,10,39187.0,21.2,15.3,0.9,18.1,38.3,CA,23528636,95838,0.1
588,2,44900.0,54031.0,4,4998.0,95.6,0.5,0.1,1.1,0.9,WI,363145290,54727,0.5
591,2,66573.25,52708.0,5,2716.0,96.4,0.7,1.1,0.0,2.8,IL,81096345,62884,0.4
592,12,692898.44,47215.0,40,20586.0,56.0,10.0,1.0,7.5,19.4,CA,10556569,95841,0.3
593,7,391916.0,46413.0,20,17413.0,85.0,9.4,1.1,0.2,1.1,OH,48121221,44706,0.35
596,20,995367.37,61845.0,58,39385.0,85.4,2.2,0.1,2.3,8.4,FL,120753895,34655,0.3448275862068966
600,4,113227.0,34309.0,10,18522.0,16.4,0.3,0.4,1.1,81.1,CA,196107721,93247,0.4
601,2,169750.0,35094.0,6,2088.0,0.7,0.0,0.0,0.4,99.3,CA,578037169,93249,0.3333333333333333
602,14,1309361.0,78102.0,33,46709.0,58.6,8.5,0.5,10.6,15.9,CA,16701345,95843,0.42424242424242425
603,78,7688073.109999999,71043.0,87,14409.0,57.1,19.2,0.2,3.3,19.4,FL,6600762,33602,0.896551724137931
604,2,122814.62,61429.0,3,2989.0,85.6,1.7,1.0,0.7,10.5,IA,46990864,51109,0.6666666666666666
605,13,666856.59,53890.0,31,57369.0,9.1,1.0,0.8,4.2,85.5,CA,70909645,93458,0.41935483870967744
606,9,692984.1699999999,101446.0,22,23733.0,70.8,3.4,0.2,7.5,13.9,CA,16397934,95864,0.4090909090909091
607,16,1965327.0,49759.0,47,33442.0,53.0,4.4,1.2,8.2,28.6,CA,509077850,95901,0.3404255319148936
609,6,206592.0,66468.0,23,12031.0,91.8,1.6,0.1,1.7,3.3,WI,210562472,53534,0.2608695652173913
610,8,287700.0,75665.0,15,7884.0,95.8,0.6,0.1,0.9,1.4,IL,270151657,61856,0.5333333333333333
619,17,959199.0,43012.0,25,21044.0,39.6,29.1,0.4,0.8,30.3,FL,10714771,33603,0.68
620,17,1287241.5,50496.0,48,26366.0,89.7,2.0,0.2,0.8,4.1,TN,562929741,37355,0.3541666666666667
621,28,1283314.0,40621.0,51,38690.0,35.5,23.1,1.3,1.4,37.9,FL,19285482,33604,0.5490196078431373
622,6,466095.0,45096.0,14,2617.0,80.3,1.0,1.6,0.0,3.4,TN,62629599,37356,0.42857142857142855
623,5,171698.75,47375.0,4,5653.0,80.8,1.6,0.9,0.3,10.2,TN,363927351,37357,1.25
626,1,87162.5,57019.0,6,1349.0,90.7,0.0,0.0,0.0,5.3,TN,47586692,37361,0.16666666666666666
628,1,13200.0,60404.0,5,2727.0,97.0,0.0,0.1,0.0,0.3,IL,257735953,61842,0.2
629,6,382400.0,93510.0,13,10906.0,84.2,0.9,0.0,5.0,7.0,WI,93097949,53527,0.46153846153846156
631,7,539990.1,86326.0,9,6258.0,94.2,0.0,0.0,0.9,2.6,WI,121060523,53528,0.7777777777777778
635,3,81262.5,57179.0,4,4407.0,90.5,1.0,0.1,0.0,8.4,WI,345708864,53530,0.75
636,1,800.0,43750.0,6,4918.0,95.2,2.5,0.0,0.4,0.9,IL,113269172,61846,0.16666666666666666
637,2,19969.0,81063.0,3,4605.0,92.3,2.9,0.5,0.3,2.1,WI,109629388,53531,0.6666666666666666
644,4,310100.0,83263.0,18,15099.0,89.6,0.6,0.4,3.4,4.4,WI,139990915,53532,0.2222222222222222
646,5,245800.0,68394.0,9,8722.0,95.7,0.3,0.1,0.1,2.7,WI,244914562,53536,0.5555555555555556
647,11,785220.87,69581.0,23,19370.0,85.2,3.8,1.2,2.1,3.5,MA,71661166,02536,0.4782608695652174
648,8,773704.05,103894.0,4,6535.0,96.8,0.0,0.0,1.9,0.1,MA,31606613,02537,2.0
650,12,462425.62,90465.0,19,13981.0,90.2,2.2,0.0,1.0,4.9,IL,125401595,61853,0.631578947368421
651,5,238339.0,61875.0,14,7070.0,97.8,0.2,0.0,1.4,0.0,WI,372589520,53533,0.35714285714285715
